 Rank,Name,Number,Gender,Year
1,NOAH,630,Male,2022
1,CHARLOTTE,430,Female,2022
2,OLIVER,628,Male,2022
2,AMELIA,425,Female,2022
3,LEO,447,Male,2022
3,ISLA,403,Female,2022
4,WILLIAM,427,Male,2022
4,OLIVIA,401,Female,2022
5,THEODORE,404,Male,2022
5,MIA,363,Female,2022
6,JACK,381,Male,2022
6,AVA,343,Female,2022
7,LUCA,367,Male,2022
7,HENRY,367,Male,2022
7,ELLA,331,Female,2022
8,MATILDA,318,Female,2022
9,THOMAS,348,Male,2022
9,SIENNA,293,Female,2022
10,CHARLIE,334,Male,2022
10,WILLOW,288,Female,2022
11,HUDSON,328,Male,2022
11,CHLOE,286,Female,2022
12,LUCAS,319,Male,2022
12,SOPHIA,283,Female,2022
13,ELIJAH,317,Male,2022
13,GRACE,280,Female,2022
14,ARCHIE,312,Male,2022
14,HARPER,273,Female,2022
15,LIAM,307,Male,2022
15,LILY,272,Female,2022
16,LEVI,297,Male,2022
16,ISABELLA,269,Female,2022
17,JAMES,294,Male,2022
17,ZOE,267,Female,2022
18,ALEXANDER,271,Male,2022
18,MILA,243,Female,2022
18,IVY,243,Female,2022
19,ISAAC,267,Male,2022
20,SEBASTIAN,243,Male,2022
20,EVELYN,241,Female,2022
21,HUGO,239,Male,2022
21,HAZEL,238,Female,2022
22,ARLO,228,Male,2022
22,EVIE,221,Female,2022
23,HUNTER,224,Male,2022
23,ARIA,218,Female,2022
24,ETHAN,220,Male,2022
24,SOPHIE,214,Female,2022
24,RUBY,214,Female,2022
25,LACHLAN,218,Male,2022
26,MAX,215,Male,2022
26,KAI,215,Male,2022
26,ELLIE,201,Female,2022
27,VIOLET,199,Female,2022
28,OSCAR,214,Male,2022
28,GEORGE,214,Male,2022
28,COOPER,214,Male,2022
28,AUDREY,198,Female,2022
29,AURORA,185,Female,2022
30,GEORGIA,183,Female,2022
31,ARTHUR,208,Male,2022
31,ZARA,178,Female,2022
32,HARRY,207,Male,2022
32,SOFIA,175,Female,2022
33,XAVIER,202,Male,2022
33,EMILY,172,Female,2022
34,HARVEY,197,Male,2022
34,SCARLETT,171,Female,2022
35,HARRISON,192,Male,2022
35,FLORENCE,169,Female,2022
36,JACOB,187,Male,2022
36,LUNA,167,Female,2022
